distribution:  CLEAR
sun elevation: 45
sun azimuth:   335
sample points: 300

Format of sample points: azimuth,elevation,weight (weights sum to 1.0)

335,45,0.000462162
331,41,0.000725136
339,41,0.000606003
340,44,0.000604185
330,44,0.000616527
332,47,0.000837887
335,41,0.000461334
338,47,0.000567741
333,42,0.000429684
337,42,0.000425434
334,44,0.000453157
339,45,0.00075539
331,45,0.000620109
339,42,0.00042653
331,42,0.000413966
335,42,0.000434608
334,47,0.000472143
336,47,0.000676329
338,44,0.000425501
336,44,0.000448433
332,44,0.000432941
337,45,0.00043526
333,45,0.000444063
333,41,0.00047151
337,41,0.000463696
334,34,0.00129444
343,37,0.00109517
325,40,0.00083486
346,44,0.00105334
336,51,0.00147551
324,44,0.00123188
330,37,0.000495417
342,50,0.00136513
337,37,0.000589291
326,48,0.00132963
345,40,0.000837633
344,47,0.000801261
331,50,0.0014145
334,37,0.000754
337,34,0.00135448
340,35,0.000875564
341,40,0.00112043
327,42,0.000709032
343,42,0.000619552
328,40,0.00108777
327,45,0.00108159
339,38,0.000676706
335,38,0.000755452
331,38,0.000830239
338,50,0.000993094
326,38,0.00118076
331,35,0.000860203
339,48,0.000861286
344,38,0.000928688
338,40,0.000679231
333,48,0.000876512
334,40,0.000691685
336,35,0.000697465
325,47,0.000863465
344,41,0.000643512
344,45,0.000946378
344,48,0.000965
325,41,0.000779651
345,42,0.000737104
329,42,0.000552084
341,42,0.000606357
326,42,0.000584377
339,37,0.000581693
328,37,0.000992205
332,37,0.000405825
327,27,0.0019604
340,25,0.00219114
348,31,0.0020474
321,32,0.00227931
352,37,0.0026312
334,25,0.00234346
317,40,0.00258189
317,45,0.00212131
326,54,0.00194242
353,47,0.00275446
343,30,0.00118783
334,55,0.00218459
336,30,0.00146883
330,31,0.00124803
320,50,0.00226784
343,54,0.00254405
352,41,0.00187936
321,37,0.00152688
324,30,0.00265595
348,51,0.00310645
325,34,0.00200271
347,35,0.00158917
320,42,0.00173694
345,32,0.00121577
332,28,0.00144819
337,27,0.00159201
343,27,0.00198897
325,51,0.00116883
330,52,0.00158106
321,47,0.00149934
349,47,0.0014857
350,44,0.00160879
331,25,0.00174869
341,32,0.00115658
321,40,0.00124989
339,30,0.00150256
349,40,0.00161862
338,54,0.00163934
333,31,0.00131631
346,30,0.00167529
350,34,0.00164243
329,34,0.00132117
328,30,0.00126044
319,35,0.00224809
323,52,0.00154632
343,34,0.000912377
328,9,0.00418594
347,11,0.00397743
316,18,0.0042384
357,21,0.00287837
337,15,0.00360264
310,28,0.00435012
1,30,0.00410107
325,18,0.00265242
3,41,0.00419523
347,19,0.00249769
308,38,0.00521776
307,45,0.00369105
318,25,0.00323998
357,55,0.0034753
322,12,0.00361907
351,25,0.00386745
311,52,0.00308426
339,9,0.00438498
338,61,0.00405926
323,60,0.00322473
332,19,0.00372446
352,15,0.00298199
359,35,0.00411137
1,47,0.0032813
343,15,0.00300176
333,9,0.00455935
311,34,0.00385351
329,15,0.0035521
313,22,0.00337191
340,19,0.00338374
349,58,0.00433192
355,31,0.00328943
322,22,0.00302109
312,42,0.00273177
316,30,0.00300395
359,51,0.00276649
358,25,0.00323763
321,17,0.00260098
344,22,0.00270148
327,22,0.00254817
347,15,0.00192858
352,19,0.0023421
358,41,0.00296192
311,48,0.00255906
317,57,0.00357577
331,60,0.00264315
294,9,0.00814587
16,9,0.00730092
309,1,0.00236361
1,1,0.0023632
292,27,0.00727785
17,25,0.00669268
291,40,0.00782343
19,38,0.00650109
18,51,0.00645893
306,12,0.00401371
5,12,0.00418589
320,1,0.00268646
293,51,0.00554771
349,1,0.002749
7,64,0.00687333
300,61,0.0058873
302,22,0.00510467
328,70,0.00774003
7,22,0.00502998
330,1,0.00355832
10,32,0.00534149
293,18,0.0056249
341,1,0.00281371
9,4,0.00448786
314,8,0.00564824
301,31,0.00514296
300,4,0.00449458
356,8,0.00506862
350,68,0.00580455
13,17,0.00544171
12,44,0.00474075
9,57,0.00456223
311,65,0.00557454
299,15,0.00381297
294,34,0.00474701
296,45,0.00437747
308,18,0.00422072
3,18,0.00350237
301,54,0.00380909
307,7,0.00334775
3,7,0.00314908
345,5,0.00362712
358,14,0.00344521
17,32,0.00495015
8,51,0.00292129
321,7,0.00386723
240,15,0.00636197
59,22,0.00630388
89,11,0.00714122
256,38,0.00708909
212,11,0.00539051
266,14,0.00889959
54,47,0.00549559
38,11,0.0103319
255,61,0.00552453
68,4,0.00514841
57,68,0.00631344
109,12,0.0051706
32,87,0.00638177
39,30,0.00864178
190,14,0.00602379
145,15,0.00489397
229,2,0.00297666
165,15,0.00667609
273,30,0.0115017
279,2,0.00661751
272,75,0.00786796
125,14,0.00627375
253,24,0.0076506
270,48,0.0075532
261,1,0.00394892
27,2,0.00563653
38,57,0.00809146
55,9,0.00931845
36,42,0.00808923
280,15,0.00958414
252,9,0.00682046
76,14,0.00696443
27,17,0.00949653
54,34,0.00624296
177,12,0.00873458
23,75,0.00701554
200,7,0.00616737
47,19,0.00611406
224,12,0.00507905
278,58,0.00648649
135,9,0.00752051
110,1,0.00376243
218,1,0.00272633
240,4,0.0040694
156,9,0.00846442
99,8,0.00538292
181,52,0.00328752
122,50,0.00278363
219,41,0.00431998
88,38,0.00450638
152,38,0.00363935
147,68,0.00347355
194,34,0.00315425
211,65,0.00362843
115,31,0.00318417
91,57,0.00492357
172,32,0.00419158
135,30,0.00356939
237,34,0.00616061
210,27,0.00462887
98,25,0.00468655
102,73,0.00445035
73,30,0.00562395
238,50,0.0045395
154,54,0.00326412
187,78,0.00396354
203,51,0.00364582
104,44,0.00367224
72,44,0.00508882
156,25,0.00438914
226,25,0.0053757
180,65,0.00365549
67,57,0.00481482
115,61,0.00331278
85,22,0.00435984
182,24,0.00399638
