distribution:  CLEAR
sun elevation: 45
sun azimuth:   315
sample points: 300

Format of sample points: azimuth,elevation,weight (weights sum to 1.0)

315,45,0.000463445
312,41,0.000615206
320,42,0.00061471
319,47,0.000669198
310,44,0.000616041
316,42,0.000435634
313,47,0.00063634
318,41,0.00059281
318,44,0.000426655
314,44,0.000454385
311,45,0.000657478
314,42,0.000433601
317,47,0.000443244
312,42,0.000421597
316,44,0.00044965
312,44,0.000434112
320,44,0.000817998
319,45,0.000583829
314,41,0.000424976
316,41,0.000502724
313,45,0.000438063
317,45,0.000441506
318,42,0.000424155
315,47,0.000516678
315,34,0.00110887
323,37,0.000910387
306,38,0.00146165
304,42,0.00109528
325,41,0.000793389
316,51,0.00154153
310,35,0.00077362
307,48,0.00112213
325,45,0.00112355
317,37,0.000763982
311,50,0.00125726
313,38,0.000948588
320,50,0.00146753
305,45,0.00144732
308,41,0.000652197
309,38,0.000627604
321,40,0.00091517
321,35,0.00113433
324,42,0.00062823
322,48,0.000933984
306,44,0.000758799
314,35,0.00101259
309,47,0.00108012
324,38,0.000887189
323,47,0.000879669
319,38,0.000652009
312,37,0.00057705
308,37,0.000829275
324,44,0.000676722
325,40,0.000866267
318,48,0.000866034
322,41,0.000753661
313,48,0.000890563
317,40,0.000852162
317,35,0.000949975
313,40,0.000715187
304,41,0.000853722
310,40,0.00075114
308,42,0.000470164
306,40,0.000716095
310,42,0.000505117
306,42,0.000446073
326,42,0.000687534
319,37,0.00046099
310,37,0.000399485
321,37,0.000526033
312,25,0.00204996
323,27,0.00231899
303,30,0.00209582
329,32,0.00295564
298,37,0.0024788
333,42,0.00256174
306,54,0.0024096
298,48,0.00277304
317,28,0.00115898
323,54,0.00239223
332,37,0.00205773
331,48,0.00272088
310,30,0.00142909
314,55,0.00245319
322,31,0.00169049
297,41,0.00227531
305,34,0.00160364
326,30,0.0027527
302,51,0.00214141
300,32,0.00201387
327,51,0.00245078
325,34,0.00197663
313,31,0.00122082
308,27,0.00159871
330,40,0.00163656
300,40,0.00180678
298,44,0.00252739
306,31,0.00130563
318,25,0.00220497
301,35,0.00159188
331,45,0.00205491
329,42,0.00130691
328,37,0.00166698
317,31,0.00128184
319,54,0.00182959
315,25,0.00167199
307,51,0.00122909
314,28,0.00131804
303,48,0.00137084
311,52,0.00138047
306,28,0.00154226
311,32,0.00123198
320,28,0.0012515
319,32,0.00130118
326,48,0.0012558
308,34,0.00111091
309,9,0.00323437
325,11,0.00368662
296,18,0.00409589
335,19,0.00265196
340,28,0.00356205
290,30,0.00450931
316,15,0.00258139
343,37,0.00370329
305,18,0.00250713
326,19,0.00246509
287,38,0.00417543
342,47,0.00487011
287,47,0.00428331
338,54,0.00529716
296,25,0.00346193
296,57,0.00403204
332,25,0.0034787
303,12,0.00411669
319,9,0.00430924
331,15,0.00339029
325,60,0.004028
305,60,0.00386589
320,19,0.00308147
311,19,0.00259846
301,24,0.00335342
336,32,0.00296043
292,34,0.00325582
292,52,0.00416226
290,42,0.0030144
313,11,0.00327415
338,24,0.00301667
314,61,0.00368183
322,15,0.00267642
341,41,0.00352334
307,14,0.00217349
307,22,0.00259069
331,21,0.00226578
296,30,0.0028077
327,24,0.00280497
337,37,0.00233939
341,32,0.00292189
332,57,0.00358519
301,18,0.00269286
315,19,0.00250915
326,15,0.00203135
311,15,0.00212954
275,9,0.00730388
355,9,0.00817007
341,1,0.00238057
290,1,0.00273239
273,27,0.00593301
356,25,0.00723447
358,40,0.00916789
272,41,0.00473672
283,19,0.00439281
302,1,0.0027299
344,12,0.00359619
273,52,0.00491112
329,1,0.00243143
356,52,0.00734611
349,63,0.0077282
288,11,0.00548754
313,1,0.00266181
287,65,0.00619399
347,21,0.0038518
330,68,0.00668053
273,18,0.00685254
282,4,0.00506061
336,8,0.00408439
280,32,0.00449969
349,4,0.00443076
352,32,0.00518729
307,68,0.00605555
295,7,0.00489827
321,2,0.00383024
357,17,0.00526797
281,58,0.00548052
352,45,0.00513494
281,42,0.00366935
280,25,0.00412207
282,12,0.0041361
289,22,0.00474913
350,15,0.00350244
341,18,0.00333131
350,27,0.00345222
307,4,0.00291069
275,47,0.00368527
330,7,0.00405395
343,7,0.00319102
337,14,0.00327575
273,35,0.00582079
297,12,0.00373325
49,14,0.00554117
232,24,0.0047821
201,11,0.00890888
33,37,0.00598114
78,11,0.00654247
23,14,0.00725971
238,48,0.00606519
252,11,0.00896314
34,60,0.00595203
221,5,0.00541238
245,84,0.00599415
182,11,0.00591254
251,32,0.007306
25,77,0.00705512
242,65,0.00686951
96,12,0.00992154
238,1,0.00448238
14,30,0.00951132
141,14,0.00951719
12,2,0.00604329
116,14,0.00930954
18,47,0.00921227
158,14,0.00875472
37,22,0.00571248
36,8,0.00663331
264,2,0.00667799
64,11,0.00643241
260,21,0.00879892
10,15,0.00933499
25,1,0.00337795
129,11,0.00938207
256,45,0.00720772
239,14,0.00613364
169,9,0.00729126
71,1,0.00292279
238,35,0.0060909
329,80,0.00632233
11,60,0.00719045
213,12,0.00562307
247,21,0.00548918
225,15,0.00502144
256,57,0.0064601
25,25,0.00565296
264,74,0.00633817
47,4,0.00467301
179,1,0.00319217
129,52,0.0031564
