distribution:  OVERCAST
sun elevation: 45
sun azimuth:   315
sample points: 300

Format of sample points: azimuth,elevation,weight (weights sum to 1.0)

90,90,0.00810983
67,45,0.00509913
359,47,0.00468872
220,47,0.00560401
155,47,0.00598022
294,47,0.0062154
111,47,0.00541412
258,64,0.00643476
33,64,0.00583075
190,65,0.00682005
329,65,0.00543997
131,67,0.00511512
79,64,0.00680441
184,47,0.00610536
323,47,0.0078792
247,47,0.00574824
41,47,0.00604819
271,47,0.00536784
292,63,0.00485648
132,51,0.00452359
89,50,0.0040405
223,63,0.00531372
5,75,0.00540839
2,61,0.00480258
20,47,0.00570285
163,60,0.00728676
278,75,0.00645597
57,57,0.0058721
102,77,0.0081993
167,77,0.0086271
341,54,0.00505775
105,60,0.00499876
202,52,0.00672492
226,75,0.00617014
53,74,0.00738948
309,54,0.00680943
235,54,0.00666323
275,57,0.00576947
321,77,0.00760361
170,47,0.00611236
20,57,0.00550734
180,57,0.00700012
143,58,0.00646778
74,54,0.00596169
257,54,0.00631396
154,68,0.00614397
37,55,0.00611626
325,57,0.00584242
55,48,0.00484777
59,65,0.00594725
107,68,0.00619448
124,58,0.00567679
350,68,0.00506886
307,68,0.00636158
282,50,0.00451549
240,68,0.00633718
346,47,0.00499247
8,52,0.00419494
215,55,0.00480412
209,68,0.00518727
142,47,0.00523907
32,81,0.00611636
100,52,0.00446433
17,68,0.00553627
355,54,0.0038293
91,58,0.00443107
137,74,0.00485091
122,48,0.00463769
204,61,0.00444875
278,67,0.00523119
296,55,0.0045762
344,61,0.00415116
250,81,0.00596655
233,47,0.00417109
202,25,0.00357553
95,25,0.00471228
308,25,0.00354512
130,25,0.00321415
259,25,0.00397961
336,25,0.00487518
52,25,0.00468318
9,25,0.00418628
162,25,0.00378406
227,25,0.00473123
285,25,0.00354879
73,27,0.00438767
30,28,0.00494032
182,28,0.00390278
113,31,0.00440938
352,31,0.00423309
242,32,0.0045726
147,32,0.00346875
215,34,0.00486565
323,32,0.00625197
85,37,0.00513701
198,38,0.00485755
296,34,0.00438478
273,34,0.00483615
310,40,0.00688049
62,34,0.00456868
130,38,0.00491275
256,37,0.00519098
17,35,0.00538844
335,38,0.00660373
44,35,0.00580589
100,37,0.00612893
171,35,0.00463304
227,37,0.00560497
4,37,0.00551286
30,40,0.00614963
284,40,0.0049198
158,35,0.00499695
41,25,0.00459374
20,25,0.00387887
84,25,0.00468491
192,30,0.00411935
270,25,0.00429371
73,37,0.0046017
208,42,0.0052695
186,37,0.00428795
118,40,0.00457924
213,25,0.00414697
141,25,0.00381648
297,25,0.003384
248,25,0.00431706
63,25,0.00384999
171,27,0.00366152
237,25,0.00387606
359,25,0.00436947
152,25,0.00363983
120,25,0.0029389
105,25,0.00366669
54,40,0.00503014
346,38,0.00513559
345,25,0.00410855
318,25,0.00355863
80,44,0.0041569
237,40,0.00427855
260,44,0.00460743
137,32,0.00376287
205,32,0.00352043
93,42,0.00418258
305,32,0.00383956
265,32,0.00357151
177,41,0.00357303
123,32,0.00330888
11,42,0.00389867
149,40,0.0040146
287,32,0.00352466
188,8,0.00188723
30,8,0.00165862
89,7,0.00156001
327,8,0.00152125
113,8,0.00164577
169,8,0.00140846
220,8,0.00169195
69,8,0.00185606
136,8,0.00155676
303,8,0.00144521
279,8,0.00161982
240,8,0.00159726
49,8,0.00141806
356,8,0.001762
258,8,0.00144079
13,9,0.001685
204,8,0.00155447
153,8,0.00205934
342,8,0.00133613
100,12,0.00248256
291,14,0.00212788
314,12,0.00189936
124,12,0.00233018
178,17,0.00330821
269,14,0.00295391
230,14,0.00297455
79,14,0.00317995
57,15,0.00325576
39,14,0.00293028
195,17,0.00308498
144,15,0.00293655
250,15,0.00293427
28,18,0.00348704
326,18,0.00376574
160,15,0.00256042
211,15,0.00260103
4,15,0.00336139
90,17,0.0037972
351,17,0.00384222
113,18,0.00349361
278,18,0.00384961
220,18,0.00347612
69,18,0.0037246
339,17,0.00348462
306,17,0.00290314
133,17,0.00310439
15,18,0.00277969
169,18,0.00305802
48,17,0.0030476
240,17,0.00325402
179,8,0.00156517
259,17,0.00307593
21,8,0.00162701
186,21,0.00352221
153,17,0.00266138
60,8,0.00183083
204,17,0.00264918
196,9,0.00143884
5,8,0.0013286
249,8,0.00129382
144,8,0.00182135
105,18,0.00268673
349,8,0.00133774
335,8,0.00142569
213,8,0.00141989
295,8,0.00113054
162,8,0.00155261
298,17,0.00229966
319,18,0.00251996
22,15,0.00222423
320,8,0.00146774
287,8,0.00144006
291,21,0.00252168
125,19,0.00240727
265,8,0.00121322
104,2,0.000862852
127,2,0.00111272
230,2,0.000879829
79,2,0.000937233
39,2,0.000891204
272,2,0.000633299
194,1,0.000492976
117,1,0.000673856
315,1,0.000587371
174,1,0.000482722
184,1,0.000610818
158,1,0.000728745
149,1,0.00095714
25,1,0.00068097
64,1,0.000795372
97,5,0.00154968
346,1,0.000423823
