distribution:  SHARP
sun elevation: 45
sun azimuth:   335
sample points: 300

Format of sample points: azimuth,elevation,weight (weights sum to 1.0)

335,45,0.00105344
334,44,0.00100729
336,44,0.000986172
333,45,0.00100283
337,45,0.000958755
336,47,0.000942757
334,47,0.000933673
332,44,0.000894769
335,42,0.000848294
338,44,0.000840536
333,42,0.000809922
337,42,0.000776863
332,47,0.000799688
338,47,0.00082282
331,45,0.000829038
335,48,0.000749903
339,45,0.000759514
337,48,0.00070133
331,42,0.000677892
340,44,0.00062915
330,44,0.000695443
333,48,0.000693683
340,47,0.000625748
337,41,0.000587583
333,41,0.000576149
339,42,0.00062523
330,47,0.000597964
329,45,0.000601653
335,41,0.000619087
341,45,0.000531467
331,48,0.000558212
339,48,0.000570138
336,50,0.000520771
329,42,0.000503348
333,50,0.000504012
339,41,0.000494502
341,42,0.000449283
328,44,0.000481133
338,50,0.000468081
331,41,0.000476164
336,40,0.000403961
342,47,0.000423835
342,44,0.000422845
331,50,0.000425748
341,48,0.00041022
327,47,0.000400083
340,50,0.000370229
327,45,0.000393603
334,40,0.000401595
338,40,0.000364459
341,41,0.000374644
328,48,0.000398392
336,51,0.000327288
327,42,0.000340955
334,51,0.000330861
329,50,0.00032023
344,45,0.00033988
332,40,0.000358326
329,41,0.00035559
343,42,0.000298555
326,44,0.00030786
332,51,0.000295486
339,51,0.000286515
330,40,0.000290779
340,40,0.00029843
344,48,0.000272186
337,38,0.000244775
333,38,0.00024398
344,47,0.00026828
325,47,0.000252499
344,44,0.000267566
329,51,0.00023774
342,50,0.000266061
325,45,0.000245404
327,41,0.000248836
342,41,0.000264047
335,38,0.00025531
326,48,0.000263328
337,52,0.000201077
332,52,0.000198048
326,42,0.000222629
335,52,0.000209567
324,44,0.000195833
341,51,0.000227288
327,50,0.000224315
346,45,0.000212582
328,40,0.000221097
341,40,0.000228027
339,38,0.000216523
331,38,0.000215228
332,37,0.000152421
335,37,0.000165291
345,42,0.000195808
337,37,0.000158216
334,37,0.000163066
323,47,0.000164568
346,47,0.000172942
340,52,0.000176848
330,52,0.00017226
346,44,0.00017318
343,51,0.000171734
327,51,0.000180294
344,50,0.000184774
324,50,0.000157841
323,45,0.000159969
327,40,0.000165507
343,40,0.000170492
344,41,0.000183428
325,41,0.000173556
329,38,0.000179332
340,38,0.000180705
324,48,0.000174292
346,48,0.000179615
332,55,0.00128673
337,55,0.00153311
326,37,0.00230801
348,41,0.000927795
350,45,0.00130305
340,35,0.00116835
348,51,0.00136373
343,54,0.00164615
322,42,0.000623494
323,40,0.00171997
343,37,0.00120896
323,51,0.00199213
325,52,0.00100152
328,54,0.000899731
320,44,0.00216922
347,40,0.00144131
349,50,0.00126572
336,35,0.000561105
344,52,0.000307403
344,38,0.000539353
333,35,0.000697609
349,42,0.00124194
338,54,0.0001582
326,38,0.000262436
333,54,0.000140022
324,42,0.000152437
347,42,0.000138375
339,37,0.00014456
330,37,0.000163973
328,37,0.000296283
341,37,0.000146609
349,47,0.000300173
321,47,0.00120779
342,52,0.000147774
328,52,0.000147462
336,54,0.000141973
341,54,0.000263163
331,54,0.000136609
348,44,0.000163021
322,44,0.000136404
346,51,0.00014974
325,51,0.000140282
335,35,0.000630027
331,35,0.001834
338,35,0.000504728
334,55,0.0005703
322,50,0.000789699
347,50,0.000135073
321,45,0.00030671
348,45,0.000143641
325,40,0.000157844
345,40,0.000155385
323,41,0.000167669
346,41,0.00013528
342,38,0.000147673
328,38,0.000146538
348,48,0.000176571
322,48,0.00034261
201,35,0.00722604
87,21,0.0069071
122,70,0.00753776
143,18,0.00750314
36,12,0.0066581
260,28,0.00825283
53,48,0.00769949
242,65,0.00745966
296,9,0.00834096
