distribution:  SHARP
sun elevation: 45
sun azimuth:   315
sample points: 300

Format of sample points: azimuth,elevation,weight (weights sum to 1.0)

315,45,0.00105254
314,44,0.00100768
316,44,0.000986558
317,45,0.000988789
313,45,0.000971329
315,47,0.000958439
317,47,0.00089943
312,44,0.000895112
313,47,0.000881601
318,44,0.000840856
316,42,0.000843346
314,42,0.000829044
319,45,0.000807324
311,45,0.000779649
316,48,0.000745082
312,42,0.000713553
318,42,0.000750418
319,47,0.000731419
313,48,0.000717395
310,44,0.000695708
320,44,0.00062939
311,47,0.000703644
318,48,0.000669717
316,41,0.00061165
320,42,0.000587889
321,45,0.000579636
314,41,0.000606018
311,48,0.000599717
310,42,0.000542833
309,45,0.000551655
318,41,0.000545689
309,47,0.000495106
321,47,0.000522756
312,41,0.00053115
320,48,0.000525046
316,50,0.000520949
313,50,0.000504141
308,44,0.000481323
318,50,0.000468245
309,48,0.000441539
322,42,0.000413472
322,44,0.000423012
310,41,0.000416249
311,50,0.000425689
320,41,0.000434464
317,40,0.000379123
313,40,0.000393343
308,42,0.000373669
320,50,0.000370361
323,45,0.00037656
315,40,0.000407962
322,48,0.000367434
323,47,0.000339418
307,45,0.000355139
316,51,0.000332594
312,40,0.000341169
313,51,0.000324615
306,47,0.000318609
306,44,0.000307975
318,51,0.000300804
309,50,0.000320197
319,40,0.00031827
322,41,0.000315777
308,41,0.000299286
307,48,0.000296515
311,51,0.0002807
317,38,0.000245729
313,38,0.000242571
306,42,0.000244234
324,42,0.000272063
324,44,0.000267673
320,51,0.000244312
322,50,0.000266162
325,45,0.000234859
310,40,0.000270862
321,40,0.000246944
315,38,0.000255065
324,48,0.000241258
325,47,0.000213997
304,47,0.000201504
304,44,0.00019591
307,50,0.000224303
316,52,0.000208318
305,45,0.000221781
308,40,0.000203884
309,51,0.00022086
306,41,0.000207316
323,41,0.000219048
319,38,0.000218254
311,38,0.000213142
313,52,0.000205554
314,37,0.000164028
317,37,0.000157176
321,52,0.000163897
326,42,0.00018001
304,42,0.000164069
316,37,0.00016519
318,52,0.000191747
326,44,0.000173252
323,51,0.000185893
307,51,0.00016669
324,50,0.000184847
304,50,0.000157837
327,45,0.000154669
306,40,0.0001536
323,40,0.000184677
325,41,0.000155402
320,38,0.000182592
309,38,0.0001772
326,48,0.000161771
305,48,0.000194449
309,52,0.000155887
311,52,0.000184842
316,55,0.00141952
301,45,0.0028278
307,37,0.00230787
323,37,0.00133883
312,35,0.00168643
327,51,0.0012823
330,47,0.00213935
323,54,0.00167018
304,52,0.00255288
302,41,0.00128131
325,52,0.000675531
319,35,0.0016587
327,40,0.00156327
324,38,0.000423054
310,37,0.000189122
315,35,0.000825837
306,38,0.000473485
319,54,0.000182037
302,42,0.000857126
327,42,0.000339147
319,37,0.000148723
308,37,0.000354493
321,37,0.000239377
312,37,0.000154155
302,47,0.000248256
327,47,0.000144746
323,52,0.000136118
321,54,0.00030676
302,44,0.000190419
316,54,0.000141511
328,44,0.00080456
304,51,0.000182347
325,51,0.000141679
317,35,0.000758786
314,35,0.000795976
314,55,0.00125814
302,50,0.00149486
327,50,0.000180854
306,52,0.000186837
329,45,0.00142782
303,45,0.000148179
314,54,0.000141198
304,40,0.000796912
325,40,0.000150294
304,41,0.00014863
327,41,0.00112154
308,38,0.00014482
322,38,0.000149223
328,48,0.000678696
303,48,0.000286378
311,54,0.000201455
309,54,0.00120425
67,21,0.00663569
165,41,0.00731089
232,31,0.00674754
13,7,0.00807731
118,12,0.0102289
85,70,0.00692449
26,44,0.00610097
156,2,0.0041917
217,68,0.0076355
269,12,0.00613867
122,44,0.00712138
224,1,0.00381578
198,24,0.00768009
357,30,0.00845818
260,50,0.00828024
95,28,0.00710649
326,81,0.00816569
312,9,0.00687721
62,47,0.00735368
143,24,0.00815457
149,64,0.00744491
34,21,0.00649516
174,18,0.00706175
209,45,0.00568414
247,4,0.00742654
291,19,0.00709658
7,63,0.00690563
337,19,0.00715337
86,9,0.00821733
93,50,0.00523301
257,30,0.00653204
353,8,0.00673117
278,35,0.00769929
103,1,0.00417009
274,67,0.00878675
217,18,0.00529697
185,57,0.00649889
51,31,0.0058714
164,81,0.0071984
234,48,0.0083254
355,47,0.00883584
136,8,0.00669373
45,63,0.008915
15,24,0.00698988
204,7,0.00758696
187,38,0.00652595
188,9,0.012313
115,28,0.00973164
52,14,0.00518406
235,15,0.00793542
77,35,0.00657409
145,48,0.0065179
117,60,0.00574401
297,4,0.00669658
160,27,0.00691729
31,7,0.00740182
321,21,0.0075921
104,15,0.00750217
215,32,0.00754078
333,67,0.00634937
255,15,0.00784638
307,22,0.00755709
326,8,0.00810456
169,5,0.00747949
341,32,0.00823973
246,61,0.0090699
34,75,0.00700398
281,51,0.00944064
11,37,0.00706754
82,22,0.00763406
130,31,0.00699858
153,15,0.00662588
44,44,0.00815202
4,17,0.007732
105,40,0.006876
277,22,0.00656567
72,58,0.00756228
245,38,0.00787954
261,2,0.00454695
149,35,0.00701157
72,8,0.00837167
245,78,0.00825033
164,54,0.00688862
184,25,0.0072174
181,70,0.00775571
56,2,0.00531857
245,24,0.00722565
122,73,0.00668597
35,34,0.00641814
351,19,0.00689684
281,11,0.00777448
130,18,0.00750249
292,32,0.00768285
212,57,0.00785485
346,57,0.00656621
27,55,0.006659
342,8,0.00835658
304,67,0.007414
201,35,0.00644648
23,15,0.00651863
2,1,0.00328912
11,50,0.00628596
173,30,0.00634476
63,35,0.00668688
41,11,0.00800638
127,1,0.00412058
271,1,0.00358071
90,38,0.00547336
178,47,0.00537762
89,81,0.00616361
265,40,0.0070129
330,28,0.00519146
222,41,0.00595048
207,17,0.00630908
146,5,0.00541531
93,18,0.0049843
80,45,0.00550476
216,8,0.00563025
300,14,0.00556539
45,22,0.00532608
225,11,0.00531409
136,40,0.00557689
163,15,0.00555927
266,22,0.00593822
97,60,0.00551457
109,50,0.00513127
134,55,0.00586306
22,32,0.00557285
227,22,0.0052857
195,48,0.00532694
0,73,0.00522532
57,22,0.00481622
97,8,0.00562441
62,12,0.00500598
318,2,0.0032937
