distribution:  TURBID
sun elevation: 45
sun azimuth:   335
sample points: 300

Format of sample points: azimuth,elevation,weight (weights sum to 1.0)

335,45,0.000441829
328,2,0.00226315
341,2,0.00207872
333,38,0.00170523
341,41,0.00125133
336,2,0.00114909
328,44,0.00111189
341,45,0.00155788
333,48,0.00134787
331,41,0.000580068
338,2,0.00128881
333,2,0.0011854
337,41,0.000594469
337,48,0.00171671
337,38,0.00179381
332,44,0.000414203
338,44,0.000406621
335,42,0.000533012
340,47,0.00107278
329,42,0.000785264
332,40,0.0004931
340,40,0.00144867
331,45,0.000403807
336,40,0.000478712
334,47,0.000446846
339,42,0.000472626
333,42,0.000599134
331,42,0.000404553
337,42,0.000424393
341,42,0.0014234
332,47,0.000867782
338,47,0.000421667
336,47,0.000460168
334,44,0.000434814
340,44,0.000487539
336,44,0.000429998
330,44,0.000388848
340,2,0.00128673
337,2,0.001287
331,2,0.00114514
330,2,0.00110271
334,2,0.0011122
337,45,0.000414556
329,45,0.00141057
339,45,0.000386915
333,45,0.000423489
330,40,0.00161999
338,40,0.000467482
334,40,0.000606102
6,2,0.00373811
304,2,0.0044908
353,7,0.00278548
316,7,0.00304557
335,27,0.00401555
327,31,0.00372384
332,11,0.00320492
345,32,0.00360744
345,9,0.00359087
323,8,0.00347965
320,1,0.00199498
358,1,0.00169503
321,40,0.00362856
349,1,0.00167076
312,1,0.00183024
349,40,0.00393712
334,32,0.0036998
339,8,0.0032941
324,50,0.00335741
324,35,0.0037365
328,9,0.00289617
347,5,0.00257543
335,52,0.00361317
339,30,0.00343738
348,44,0.00480082
322,44,0.00409056
358,5,0.00306447
354,1,0.00147913
316,1,0.00221874
334,7,0.00293016
344,37,0.00346052
329,35,0.00318269
339,34,0.00304829
330,28,0.003527
344,50,0.00485307
323,4,0.00305881
309,4,0.00267036
2,1,0.00190563
345,1,0.00198828
319,5,0.00303014
349,8,0.00322625
330,7,0.00242257
337,11,0.00373526
343,7,0.00257905
329,51,0.00251863
326,5,0.00220651
325,41,0.00232374
312,5,0.00262362
355,4,0.00187392
351,4,0.0021995
28,1,0.00423997
282,2,0.00403513
358,22,0.00541378
313,22,0.00461676
17,5,0.00549117
293,5,0.00526346
346,21,0.00411876
311,32,0.00518007
358,32,0.00545052
323,19,0.0037095
2,14,0.00394457
309,14,0.00455119
310,41,0.00525379
360,41,0.00524418
353,15,0.00367202
332,19,0.00475178
8,9,0.0058441
301,9,0.00627973
319,28,0.00543236
318,14,0.00394877
313,48,0.00558049
351,27,0.00439569
346,57,0.00461804
356,50,0.00614769
340,17,0.00559378
325,57,0.00476582
12,1,0.00349845
289,1,0.00265874
297,1,0.00330191
324,25,0.003709
21,1,0.00284124
347,15,0.00448642
323,14,0.00382423
345,27,0.00418842
352,32,0.00392464
352,21,0.00357352
336,58,0.00479213
357,11,0.00365507
339,22,0.00462788
317,35,0.00455773
329,15,0.00403286
313,17,0.00327599
355,37,0.00338148
3,7,0.00380088
313,11,0.00310913
318,52,0.00442573
358,17,0.00312013
318,21,0.00367129
307,8,0.00352644
328,22,0.00359074
66,4,0.00624501
262,7,0.00683715
47,7,0.00596717
19,25,0.0056254
293,25,0.00678199
17,40,0.00559534
293,40,0.00767374
27,14,0.0058408
284,15,0.00487162
235,4,0.00507857
91,2,0.00658762
8,60,0.00489789
299,55,0.00883396
219,2,0.00695793
274,9,0.00526584
76,2,0.00447663
13,50,0.00751344
322,67,0.00586938
36,8,0.00730434
348,67,0.00585133
17,15,0.00599868
8,27,0.00609398
301,21,0.00618428
251,5,0.00715779
56,5,0.00710882
300,47,0.00595851
293,15,0.005782
300,32,0.00534597
8,35,0.0045583
228,2,0.00509355
308,61,0.00611675
9,18,0.00572919
244,4,0.00479787
84,2,0.00312134
17,32,0.00505779
287,8,0.00417621
9,42,0.00407351
306,27,0.0046834
269,5,0.00422834
24,8,0.0047541
126,4,0.00919394
41,4,0.00437804
146,4,0.00729075
275,2,0.003657
188,4,0.0083068
359,55,0.00390924
302,40,0.00379896
356,61,0.00328913
280,11,0.00386161
161,4,0.00912673
68,41,0.00227463
242,44,0.0028605
76,70,0.00216569
234,73,0.00257543
105,24,0.00243198
206,24,0.00272085
174,22,0.00277
266,31,0.00533527
44,30,0.00541151
229,25,0.00299871
137,22,0.00235195
81,24,0.00242546
45,55,0.00452215
4,87,0.00334945
264,57,0.00659605
62,22,0.0051005
248,24,0.00471385
155,22,0.00326776
121,18,0.0038151
190,19,0.00270667
29,73,0.00508833
274,44,0.00713388
36,42,0.00705759
282,73,0.00707765
93,15,0.00440255
240,60,0.00297542
217,15,0.00567958
68,55,0.00225271
261,19,0.00632485
201,12,0.00747526
109,12,0.00818689
52,40,0.00475267
72,15,0.00440026
279,27,0.00804081
50,18,0.00619496
238,17,0.00515117
171,11,0.00670617
259,41,0.00453652
31,25,0.00755071
136,11,0.00549677
239,32,0.00282772
147,15,0.0036992
73,31,0.00270434
334,77,0.00514809
