distribution:  TURBID
sun elevation: 45
sun azimuth:   315
sample points: 300

Format of sample points: azimuth,elevation,weight (weights sum to 1.0)

315,45,0.000559359
308,2,0.00250704
321,2,0.00208725
313,38,0.00152285
314,2,0.00112016
322,42,0.00132542
308,44,0.00134922
316,41,0.000493143
311,47,0.00121808
319,47,0.00132686
310,41,0.000888829
318,2,0.00130403
311,2,0.00130231
317,38,0.00172128
318,44,0.000431481
316,48,0.00134282
319,40,0.00122115
312,44,0.000417596
321,45,0.00148277
312,40,0.00102076
314,42,0.000419223
318,42,0.000617856
320,41,0.000926204
315,40,0.000384778
309,45,0.00121559
310,42,0.000630892
312,42,0.000404504
313,47,0.000518501
317,47,0.000579517
316,44,0.000433523
314,44,0.000438376
310,44,0.000392031
320,44,0.00057402
317,2,0.00128033
320,2,0.00118983
312,2,0.00119322
315,2,0.00116416
310,2,0.00128786
311,45,0.000391852
319,45,0.000395111
317,40,0.000474978
313,40,0.000382675
312,41,0.000390312
314,41,0.000399307
315,38,0.000959055
313,48,0.00116612
316,42,0.000421307
313,45,0.000419738
317,45,0.000423197
346,2,0.00361901
285,2,0.00361882
333,7,0.00278124
297,7,0.00365163
316,27,0.00415445
306,31,0.00341591
313,11,0.00441677
324,32,0.00405717
306,9,0.00333786
323,9,0.00359643
338,1,0.00171521
329,1,0.00169502
293,1,0.00176211
302,38,0.00289453
300,1,0.00214639
328,38,0.00338223
314,32,0.00397247
328,44,0.00416559
326,5,0.00303209
303,5,0.00339547
323,51,0.00336283
317,8,0.00361737
302,47,0.00377912
308,35,0.00303392
310,28,0.00418326
292,5,0.00394217
310,8,0.00339719
319,32,0.00322356
333,1,0.00149545
338,5,0.00310376
316,52,0.00321849
302,42,0.00352844
309,51,0.00379967
323,37,0.00300373
320,28,0.00403267
342,1,0.00193528
305,1,0.00194842
297,2,0.00285705
325,1,0.00199151
289,1,0.00184304
329,8,0.00324576
326,48,0.00332809
301,8,0.00336107
321,7,0.00278753
314,7,0.00257744
306,40,0.002361
305,34,0.00276683
335,4,0.00188489
330,4,0.00222789
325,41,0.002126
262,2,0.00368799
8,1,0.00375071
338,22,0.00472901
293,22,0.00610816
274,2,0.00399001
357,5,0.00477206
303,19,0.00400993
339,34,0.0041026
291,34,0.00529629
326,19,0.00443933
288,14,0.00488355
341,14,0.00537335
290,42,0.0044502
317,18,0.00521008
339,42,0.00489207
279,8,0.00529627
296,15,0.00502927
331,27,0.00524291
348,9,0.00481255
334,15,0.00419816
297,28,0.00490767
311,21,0.00562309
297,52,0.00450186
352,1,0.00282204
336,50,0.00568737
308,15,0.00468351
306,57,0.00537796
325,57,0.00410993
1,1,0.00269197
328,14,0.00412327
331,32,0.00437572
338,28,0.00369824
304,25,0.00434143
268,2,0.00382765
285,8,0.00435633
279,2,0.00371464
298,34,0.00353584
293,11,0.00382214
332,21,0.00369428
335,38,0.00387199
321,22,0.00463561
303,14,0.00386435
322,15,0.00454018
337,11,0.00362018
299,22,0.00356707
343,7,0.00385344
294,47,0.00432023
295,38,0.00346633
316,58,0.00324713
352,7,0.00374588
45,4,0.00591332
242,7,0.00735274
26,7,0.00684204
272,25,0.0039337
358,25,0.00552327
356,40,0.0077317
6,14,0.00505332
275,38,0.00530436
71,2,0.00608261
277,51,0.00704744
215,2,0.00425257
265,15,0.00418675
349,58,0.00723017
253,9,0.00458242
199,2,0.00671407
285,61,0.00609997
56,2,0.00475425
15,8,0.00643802
304,67,0.00748109
335,65,0.00524433
356,15,0.00554555
282,27,0.00523018
350,48,0.00810456
276,17,0.00464572
347,21,0.0059521
350,32,0.00493154
230,4,0.00719273
37,5,0.00768501
271,9,0.00506302
207,1,0.00333888
283,19,0.00525409
63,2,0.00365238
282,34,0.00421774
261,9,0.00420613
222,4,0.00534929
280,44,0.00484613
5,7,0.00490798
346,38,0.00427334
248,5,0.00423933
1,19,0.00421372
338,57,0.00439547
287,54,0.00410184
274,31,0.00361523
255,2,0.00369138
21,4,0.00444868
345,27,0.0041677
321,64,0.00404823
270,19,0.0034281
129,4,0.00651291
139,4,0.00673741
224,41,0.00218968
46,42,0.00296418
217,71,0.00314075
51,70,0.00264674
96,22,0.00269698
176,22,0.00338044
65,25,0.00268598
205,25,0.00251706
22,31,0.00509678
151,22,0.0026302
248,31,0.00447954
120,22,0.00251935
337,87,0.00341272
245,55,0.00465273
42,24,0.00528495
20,51,0.00739373
227,22,0.00481272
82,14,0.00602108
190,15,0.00431346
136,18,0.0036271
163,14,0.00782649
264,74,0.00592947
13,67,0.00620533
257,42,0.00645689
107,14,0.00567476
41,57,0.00345949
53,15,0.00547602
241,19,0.00578976
214,15,0.00499557
29,19,0.00585969
223,58,0.00280544
240,44,0.00381027
96,9,0.00834403
179,11,0.00829479
30,41,0.00488467
67,14,0.00454564
52,31,0.00296346
9,32,0.00738516
217,31,0.00272347
149,11,0.00738095
119,11,0.00726501
234,32,0.00346957
254,21,0.0055242
202,14,0.00402521
17,21,0.00585916
261,31,0.0057058
348,75,0.00581678
261,63,0.00576782
67,80,0.00234114
202,81,0.00241992
135,54,0.00155676
91,50,0.00156254
178,50,0.00124051
154,41,0.00156837
116,41,0.00133067
107,65,0.00147025
162,65,0.00164928
200,42,0.00158755
69,42,0.00168537
135,34,0.00145539
84,32,0.00175597
189,31,0.00240014
70,57,0.00186067
192,61,0.00180412
172,37,0.0021267
100,35,0.00196102
133,75,0.00177311
110,52,0.0017751
163,27,0.00273596
157,54,0.00155664
108,25,0.00200582
80,67,0.00156971
207,52,0.00160621
77,24,0.00208194
130,44,0.00144068
186,41,0.00163066
132,64,0.00172382
123,32,0.00139619
58,50,0.00188427
147,32,0.00168541
185,71,0.00184508
72,32,0.00175105
166,45,0.00126198
83,42,0.00170908
208,35,0.00180015
192,51,0.00132426
143,45,0.00131143
58,40,0.00176508
104,44,0.00125024
130,25,0.00171419
195,24,0.0021343
212,44,0.00141155
173,58,0.00123286
91,60,0.00138966
141,25,0.00156981
130,84,0.00156538
86,24,0.00189216
222,50,0.00186727
100,74,0.0013573
56,61,0.00162609
113,32,0.00131156
